Treatment;ClutchN;Age;Stage;comst;groupst;DecimaClocklHours;AccumshakingtimeRup1Fra;AccumShakingR1sec;NumPosChanADBefore2ndHole;AccumADshakingR;AccumshakingtimeRup2Fra;AccumShakingR2sec;DisEndRup2Fr;DisEndHatchingStartFr;CompDurFr;CompressionSec;CompressionSeen;EXITDURATIONFr;EXIT DURATION StarttoFullyOutsec;NumHoles;FirstSecondHoleExit;Rescue;;
Flooding;462;3;2;2-3;2-3;20,23;4;0,13;3;;;;;1407;;;0;2442;81,4;1;First;0;;
Flooding;470;3;3;2-3;2-3;21,02;290;9,67;7;;0;0,00;;4838;;;0;1318;43,93333333;1;First;0;;
Flooding;386;4;4;4-5;4-7;0,15;30;1,00;1;;0;0,00;;916;6;0,20;1;342;11,4;1;First;0;;
Flooding;397;4;5;4-5;4-7;0,82;395;13,17;1;;;;;5182;;;0;4;0,133333333;1;First;0;;
Flooding;102;4;5;4-5;4-7;10,85;105;3,50;17;;0;0,00;;6511;7;0,23;1;3995;133,1666667;1;First;0;;
Flooding;187;4;4;4-5;4-7;16,12;260;8,67;1;;;;;2222;;;0;157;5,233333333;1;First;0;;
Jiggling;272;4;5;4-5;4-7;10,42;285;9,50;1;;;;;213;;;0;96;3,2;1;First;0;;
Jiggling;268;4;4;4-5;;11,35;0;0,00;14;;;;;8227;;;0;;;1;First;0;;
Jiggling;239;4;6;6-7;;11,32;307;10,23;16;;385;12,83;;5455;;;0;;;2;First;0;;Is two holes not 1
Jiggling;244;4;6;6-7;4-7;11,93;170;5,67;1;;;;;187;;;0;147;4,9;1;First;0;;
Jiggling;259;4;6;6-7;;14,28;1645;54,83;3;;;;;416;;;0;;;1;First;0;;
Jiggling;259;4;6;6-7;;14,48;44;1,47;2;;;;;465;;;0;;;1;First;0;;
Jiggling;259;4;6;6-7;4-7;14,58;503;16,77;0;;;;;185;;;0;8;0,266666667;1;First;0;;
Jiggling;259;4;6;6-7;4-7;14,87;231;7,70;2;;;;;398;516;17,20;1;520;17,33333333;1;First;0;;
Jiggling;259;4;6;6-7;4-7;15,03;127;4,23;0;;;;;121;5;0,17;1;;;1;First;0;;
Jiggling;273;4;5;4-5;4-7;16,08;405;13,50;0;;;;;461;;;0;460;15,33333333;1;First;0;;
Jiggling;274;4;5;4-5;;17,22;242;8,07;0;;;;;1177;;;0;;;1;First;0;;
Jiggling;274;4;5;4-5;4-7;17,37;302;10,07;1;;;;;425;;;0;299;9,966666667;1;First;0;;
Jiggling;274;4;5;4-5;;17,42;571;19,03;1;;;;;381;;;0;;;1;First;0;;
Jiggling;321;4;6;6-7;4-7;17,68;138;4,60;1;;;;;826;1;0,03;1;183;6,1;1;First;0;;
Jiggling;297;4;6;6-7;4-7;17,95;212;7,07;0;434;;14,47;432;432;;;0;674;22,46666667;1;First;0;;Return to first hole (more shaking in this place)
Jiggling;275;4;6;6-7;4-7;18,08;27;0,90;8;;;;;2529;57;1,90;1;;;1;First;0;;
Jiggling;275;4;6;6-7;4-7;18,28;0;0,00;4;;;;;5194;;;0;3;0,1;1;First;0;;
Jiggling;275;4;6;6-7;4-7;18,33;120;4,00;1;;;;;347;;;0;125;4,166666667;1;First;0;;
Jiggling;275;4;6;6-7;;18,38;99;3,30;2;;;;;263;;;0;;;1;First;0;;
Jiggling;276;4;6;6-7;;18,95;1100;36,67;19;;;;;23909;;;0;;;1;First;0;;
Jiggling;276;4;6;6-7;;18,98;197;6,57;1;;;;;1213;;;0;;;1;First;0;;
Jiggling;276;4;6;6-7;4-7;19,08;199;6,63;6;;;;;2591;;;0;2338;77,93333333;1;First;0;;
Jiggling;268;4;6;6-7;4-7;24,02;218;7,27;4;22;;0,73;234;1339;347;11,57;1;1381;46,03333333;2;First;0;;Return to first hole
Jiggling;305;4;4;4-5;4-7;24,02;173;5,77;1;;;;;745;;;0;438;14,6;1;First;0;;
Jiggling;317;4;5;4-5;4-7;24,58;194;6,47;1;;;;;520;;;0;83;2,766666667;1;First;0;;
Jiggling;317;4;5;4-5;4-7;24,80;197;6,57;1;;;;;1529;72;2,40;1;307;10,23333333;1;First;0;;
Jiggling;38;5;7;6-7;4-7;9,53;213;7,10;1;;;;;590;;;0;517;17,23333333;1;First;0;;
Jiggling;136;5;7;6-7;;10,53;40;1,33;2;;;;;968;;;0;;;1;First;0;;
Jiggling;159;5;7;6-7;;10,63;0;0,00;1;;;;;1760;;;0;;;1;First;0;;
Jiggling;36;5;7;6-7;4-7;10,77;260;8,67;0;;0;0,00;;348;;;0;5;0,166666667;1;First;0;;
Jiggling;118;5;7;6-7;4-7;10,95;154;5,13;3;337;;11,23;;993;;;0;3;0,1;1;First;0;;
Jiggling;161;5;7;6-7;4-7;11,20;42;1,40;1;;;;;18;94;3,13;1;;;1;First;0;;
Jiggling;116;5;7;6-7;4-7;11,23;185;6,17;1;;;;;782;;;0;6;0,2;1;First;0;;
Jiggling;73;5;7;6-7;4-7;11,72;230;7,67;1;;;;;321;;;0;10;0,333333333;1;First;0;;
Jiggling;119;5;7;6-7;4-7;11,87;26;0,87;1;;;;;15;;;0;163;5,433333333;1;First;0;;
Jiggling;42;5;7;6-7;;12,68;249;8,30;1;;0;0,00;;2490;;;0;;;1;First;0;;
Jiggling;43;5;7;6-7;;13,32;132;4,40;1;;0;0,00;;204;;;0;;;1;First;0;;
Jiggling;43;5;7;6-7;4-7;13,63;334;11,13;1;;0;0,00;;384;;;0;6;0,2;1;First;0;;
Flooding;466;3;2;2-3;2-3;18,43;0;0,00;0;;340;11,33;469;1960;1598;53,27;1;2375;79,16666667;2;Second;0;;
Flooding;441;3;3;2-3;2-3;20,30;830;27,67;0;;1337;44,57;2100;2100;225;7,50;1;824;27,46666667;2;Second;0;;
Flooding;442;3;3;2-3;2-3;20,60;177;5,90;0;;297;9,90;746;746;582;19,40;1;1562;52,06666667;2;Second;0;;
Flooding;469;3;3;2-3;2-3;20,78;850;28,33;0;;451;15,03;;928;462;15,40;1;598;19,93333333;2;Second;0;;
Flooding;443;3;2;2-3;2-3;20,97;0;0,00;1;;92;3,07;4202;4202;;;0;4583;152,7666667;2;Second;0;;
Flooding;445;3;2;2-3;2-3;21,97;79;2,63;2;;80;2,67;2739;2739;;;0;1839;61,3;2;Second;0;;
